source_language,target_language,source_text,target_text
Kalenjin,Swahili,Eng Africa nebo kongasis ko orani ko kebebertab murot tai ,"Katika Afrika Mashariki, barabara hii ni sehemu ya ukanda wa kaskazini."
Kalenjin,Swahili,Inyolu ketebee kot ab Jehova eng atebet nekararan,Yatupasa tukae kwenye nyumba ya Mungu kwa njia nzuri
Kalenjin,Swahili,"Tos,kiwekte kowa kongung?","Je, ulimrudisha kwenye nyumba yako?"
Kalenjin,Swahili,much kumawo chito katubet anan katunisietab tupchenyin nebo korotik.,mtu anaweza kukosa kuhudhuria mazishi au harusi ya ndugu yake wa damu.
Kalenjin,Swahili,Angen aleTomo itar inyiti fomini, Najua Hujamaliza kujaza fomu hii
Kalenjin,Swahili,kotuii komakosikyini keree kei ,Kulikuwa na giza na sikuweza kuona chochote
Kalenjin,Swahili,Maimuch kotien mosonik komyee,"Kwa bahati mbaya, nyani hawawezi kuimba vizuri"
Kalenjin,Swahili,Kitoi serkalitab Kenya betut ne inegei nebo kolsetab ketik,Serikali ilizindua sikukuu ya kupanda miti nchini
Kalenjin,Swahili,Toriti somanet mising eng sobet ab kila,Elimu inasaidia pakubwa sana katika maisha ya kila siku
Kalenjin,Swahili,tinyei tuguk che chang' che mukunetgei kipsomananiat ne lel eng' kipsomaniat ne tebisot tuai.,"Kuwa mwanafunzi mpya shuleni, ana mengi ya kujifunza kutoka kwa mwanafunzi anayeketi naye."
Kalenjin,Swahili,"angi,tos imwowo akoba sheria?","Je, unaweza kunieleza sheria?"
Kalenjin,Swahili,kaasaran kokiwuit sabet nea en emt ab kenya ,wakati huyo maisha ilikuwa ngumu ke nya
Kalenjin,Swahili,amache kepirkee ak chorindet  karun ,Nataka tupigane na mwizi kesho .
Kalenjin,Swahili,Ko testai ngalalset betushek aeng,Mazungumzo yaliendelea kwa siku mbili
Kalenjin,Swahili,Kiger kurget ak dirishok,Alifunga milango na madirisha
Kalenjin,Swahili,Uutye kole somanetab nopishet koteche kesiir boishet ichee, husahau kuwa masomo ya kiufundi hujenga ajira za kazi. 
Kalenjin,Swahili,wakset ko barastae ngalek,Mayowe ndiye meneja wa usambazaji.
Kalenjin,Swahili,kla en kla kutoretekei kipsomaninik en boisionik ab koree, Mara kwa mara wanafunzi hushiriki  katika miradi ya jamii.
Kalenjin,Swahili,Kapirwon simot  chiton  an langat ,Alinipigia simu usiku 
Kalenjin,Swahili,Kimwowo ripindet ap kalyet atonon akarit,Afisa wa polisi aliniambia nisimamishe gari
Kalenjin,Swahili,Kokiistai chekoititeng barabaret amut,Tuliondoa theluji kwenye barabara jana
Kalenjin,Swahili,kilechech nyikanatet Asisi kotoben saiti ngalalet noto,Kijasiri naye alimwambia Asisi achunguze zaidi taarifa hiyo.
Kalenjin,Swahili,aku momi oi age tugul eng Kenya nekimach koreb emotinwek chelekiten,Na hakuna eneo lolote lilidaiwa na taifa jirani.
Kalenjin,Swahili,Mting'dei kamuget awolowolchigei ak chii,Sina uwezo wa kubishana na mtu asiye jielewa
Kalenjin,Swahili,kimong'u nee?,Kumejiri nini?
Kalenjin,Swahili,Kokinoch keldap kogo yekingibut.,Nyanya yangu alijeruhi mguu wake alipoanguka.
Kalenjin,Swahili,mobwoti ale kabwate nekararan noto,Sidhani kama hilo ni wazo zuri
Kalenjin,Swahili,Miten chorik che chang nea  sukul,Kuna wezi wengi shule 
Kalenjin,Swahili, kiatem ayai kouu noe betusiek tutikin chekikusirto.,Nilijaribu kufanya hivyo siku chache zilizopita
Kalenjin,Swahili,Ye kingoweku mokoriot ko ki mach chechang',Kadiri alivyokuwa tajiri ndivyo alivyotaka zaidi
Kalenjin,Swahili,Tos imugak konyo kaa?,"Je, kuna uwezekano wake kuja nyumbani?"
Kalenjin,Swahili,Matogu tulonok che mengech eng' ndegeit.,Milima midogo haionekani kwenye ndege.
Kalenjin,Swahili,kokikochi chitab kokwenyu kotech relit.,Jirani yangu alipewa kazi ya kujenga reli
Kalenjin,Swahili,Koikeny kotyeme koyay tuguuk chemaimugasge,Daima anajaribu kufanya vitu lisilowezekana
Kalenjin,Swahili,kokisindan KCB en kolishek somok en puch ,KCB walishindwa kwa bao tatu kwa  nunge
Kalenjin,Swahili,ongelale Kibet kiro akoba kit nekiyai,Hebu tuzungumze kuhusu Kibet na kile alichokifanya
Kalenjin,Swahili, Kikobek kenyishe oeng yekingotar Haji sukul ne bo barak,Ilikuwa imepita miaka  miwili tangu Haji alipohafili kutoka chuoni.
Kalenjin,Swahili,eng' letu kiamuch atar somanet nyu,Mwishoni niliweza kumaliza masomo yangu
Kalenjin,Swahili, monget mising' akobo Australia,Sijui mengi kuhusu Australia
Kalenjin,Swahili,Bo robinik chechang karit ni,Gari hii ni bei ghali
Kalenjin,Swahili,kolu omitwokik chechang komostab Muhoroni,Eneo la Muhoroni ndilo huzalisha chakula kingi.
Kalenjin,Swahili,koaroo kokiilach konetindenyo kilasisyekab asista.,Nilimwona mwalimu wetu amevaa glasi za jua.
Kalenjin,Swahili,kakonunetab robinik che kisomei ko mayem eng' kenyi ne kosirtoi,Michango iliyotolewa mwaka jana haitoshi.
Kalenjin,Swahili,kinyere emotinwek alak korono koboto india.,Corona imeleta madhara kwa nchi zingine ikiwemo india.
Kalenjin,Swahili,Matindai ingoriet ne alichi eng tumdo.,Sina nguo za kuvaa kwenye sherehe.
Kalenjin,Swahili,"Ngwanen kawek chu, makoi ae",Kahawa ni chungu sana siwezi kunywa
Kalenjin,Swahili,nyolchin kipsomaninik konetkei koteekab sang, Wanafunzi wanapaswa kujifunza lugha za kigeni .
Kalenjin,Swahili,Kimache kasit neraisi  en emet ,Tunakazi  rahisi katika  nchi hii
Kalenjin,Swahili,Kitil ng'olotutikwak kagonygonyitab kurket.,Kugonga mlango uliingilia mazungumzo yao.
Kalenjin,Swahili,kaimutik ko konech kengu che kimen,Changamoto hutufanya kuwa bora zaidi.
Kalenjin,Swahili,berushiek tugul ak kap chii ko kaberuret,Kila siku na familia ni baraka.
Kalenjin,Swahili,Kipendi Maasai Mara eng' rutoitap somanet.,Tunaenda Maasai Mara kwa ziara ya kimasomo.
Kalenjin,Swahili,Komi siptali kongete arawet agenge,Amekuwa hospitalini kwa mwezi mmoja
Kalenjin,Swahili,Kiineta ole kipoisotoi karnok choto,Alinieleza jinsi ya kutumia mashine
Kalenjin,Swahili,Kimiten sirikwa junction raa ,Tuko sirikwa  junction  leo 
Kalenjin,Swahili,Miten miandab   ebola uganda ak kenya,Ugonjwa ebola iko uganda na kenya
Kalenjin,Swahili,tomo keng'alele eng kasarta ne koi,Hatujaogelea kwa muda mrefu
Kalenjin,Swahili,kosirto inendet kotienge  nyasutiet ab oret,Alikufa kwa ajali ya barabara
Kalenjin,Swahili,ndakelwa anyor daktarindet nengalalei kifaransaek,Ningependa kupata daktari anayezungumza Kifaransa
Kalenjin,Swahili, Kii urereninte ne kararan eng kokwee kobek.,  Alikuwa mwigizaji bora katika kijiji mzima.
