source_language,target_language,source_text,target_text
Kidawida,Swahili,Ukaniw'ona wadazamiliwa ni ini.,Akiniona huwa simfurahishi
Kidawida,Swahili,Hata iji Wavika,Ukifika
Kidawida,Swahili,Wuki ghwa choki,Asali ya nyuki
Kidawida,Swahili,Ikumi na imweri,Kumi na moja
Kidawida,Swahili,Dawida malagho ni kilimo tu!,Taita ni ukulima tu!
Kidawida,Swahili,Mapemba ghaw'uya mabaha.,Mahindi yamekuwa makubwa
Kidawida,Swahili,Nadamduka sa mwana mtini,Huwa nambeba kama dadangu mdogo
Kidawida,Swahili,Vua ikazoya kumotoka yanifwana nighale mzinyi,Mvua ikianya kunyesha yanifa niende nyumbani
Kidawida,Swahili,Agha makoto ghekua,Maswali haya ni magumu
Kidawida,Swahili,Wavi wijali kulela  wana.,Wazazi wanajali malezi ya watoto.
Kidawida,Swahili,Wodejoka chopa,Aliabiri chopa
Kidawida,Swahili,Wandu wikundike wikae na sere.,Watu wanapaswa kuwa na amani.
Kidawida,Swahili,Kwabonya kiwiwi,Umefanya vibaya
Kidawida,Swahili,Maka ghose ghasia.,Makaa yote yameisha
Kidawida,Swahili,Nachumba chumba,Nimeruka ruka
Kidawida,Swahili,Kwawebora nicha,Unaimba vizuri
Kidawida,Swahili,Wana ni inosi kufuma kwa mlungu.,Watoto ni zawadi kutoka kwa Mungu.
Kidawida,Swahili,Obanda shuu,Ni mnono sana
Kidawida,Swahili,Harusi ya me Kombo yeko kifula nguwo cha ihi njumwa,Harusi ya mama Kombo iko Jumamosi ya hii wiki
Kidawida,Swahili,Mutihani ghwa isanga ilazi ghudaw'oka law'uke,Mtihani wa kitaifa unaanza kesho kutwa
Kidawida,Swahili,opimwa nyama,Alipimwa nyama
Kidawida,Swahili,Kufuma navalwa siwonie.,Tangu nizaliwe sijawai ona.
Kidawida,Swahili,Kuzighane andonyi kakaw'adia,Uangalie chini ukiwa unapita
Kidawida,Swahili,Chovu ndeilemwagha ni lwembe lwake,Ndovu hua haishindwi na kubeba pembe zake
Kidawida,Swahili,Mwai wape olow'olwa ni mndu wa chopwa.,Binti yake ameolewa na mzungu.
Kidawida,Swahili,Wadeka mswara m'mbishi.,Amepika sima mbichi
Kidawida,Swahili,Kwanywa uji wose,Umekunywa uji wote
Kidawida,Swahili,Waghua mabamba ghamu.,Amenunua mabati mengine
Kidawida,Swahili,Iridia jabuka imbu,Nywele imeota mvi
Kidawida,Swahili,W'abonyikazi w'achelewa kucha kazinyi,Wafanyakazi wamechelewa kuja kazini
Kidawida,Swahili,Neka aha nieka.,Niko apa peke yangu.
Kidawida,Swahili,Isanga jhaw'esia,Dunia inaisha
Kidawida,Swahili,Elimu idadineka mfunguo ghwa wurumwengu na maarifa.,Elimu inatupa ufunguo wa ulimwengu wa maarifa.
Kidawida,Swahili,Sigha nighende pedu niwone mao na wanidu,Wacha niende kwetu nione mama na ndugu zangu
Kidawida,Swahili,Hachi yadapatika kwa sharia,Haki hupatikana kwa sheria
Kidawida,Swahili,Nganda yawuduka,Ukuta umeanguka
Kidawida,Swahili,Oghora ndeukunde kilambo chingi cha ndee.,Alisema hataki kitu yoyote ya babake
Kidawida,Swahili,W'ajoka cha mghondinyi andu w'itasiragha.,Wamepanda mlimani mahali wanapoabudu.
Kidawida,Swahili,W'ufisadi ghwadima ghushughulikilwe kiw'ada?,ufisadi unaweza shughulikiwa kwa njia gani?
Kidawida,Swahili,Na ghamu ghachuria garama rako,na mengine huongeza gharama zao.
Kidawida,Swahili,Ghuenyi mwana nguw'o rimkataa.,Nunulieni mtoto nguo zenye zinamtosha
Kidawida,Swahili,Ndoukunde mwana uchie na mae.,Hataki mtoto amekuja na mamake
Kidawida,Swahili,Sufuria eka na mkokolo,Sufuria iko na ukoko
Kidawida,Swahili,Nerevalwa wughangenyi anyaa kavui.,Nilizaliwa katika hospitali hapo karibu.
Kidawida,Swahili,Kwaw'esekea kii oho.,Unachekea nini wewe
Kidawida,Swahili,Nadukidshwa magho,Nimebebeshwa mawe
Kidawida,Swahili,Navenyavura nivike aje naw'eghenda,Naharakisha nifike mahali naenda
Kidawida,Swahili,Ilengo ja maisha ni kulola maana kwa kila malisano.,Kusudi la maisha ni kutafuta maana katika kila uzoefu.
Kidawida,Swahili,Obighwa usekeuza ndoe.,Alikomeshwa kuuza ardhi.
Kidawida,Swahili,W'andu w'engi w'afue kwa w'undu ghwa ugho w'ukongo,Watu wengi walifariki kwa sababu ya huo ugonjwa
Kidawida,Swahili,Itunda ijo jafunya ndighi na virutubisho.,Tunda hilo linatoa nguvu na virutubisho.
Kidawida,Swahili,W'alimi w'aw'ekumba machi matutenyi,Wakulima wananunyizia maji katika matuta
Kidawida,Swahili,Kuzighane mariw'a ghiseke dika.,Uangalie maziwa yasimwagike
Kidawida,Swahili,Naw'ona karamu yakaia tayari.,Nimeona karamu iko tayari.
Kidawida,Swahili,Nyonyi radima kukaia na maliso ghisefwanane.,Ndege wanaweza kuwa na tabia tofauti.
Kidawida,Swahili,Iriko jaw~uada,jiko lishashika
Kidawida,Swahili,Dini yaw'itesia sana w'anajamii,Dini umewasaidia sana wanajamii
Kidawida,Swahili,Kusikira ni ilagho ja muhimu,Kusikiliza ni jambo la muhimu.
Kidawida,Swahili,Ndoo yalaghaya,Ndoo imepotea
Kidawida,Swahili,Nyerinyeri radima kukaia na chughano riboie.,Nyota zinaweza kuwa na hadithi za kuvutia.
Kidawida,Swahili,Isanga jedu jeko na wuzuri na historia.,Nchi yetu ina utajiri  na historia.
Kidawida,Swahili,Ini nefuma Mbale,Mimi nimetoka Mbale
Kidawida,Swahili,Vindo vadima kukaia visingie.,Chakula kinaweza kuwa kitamu.
Kidawida,Swahili,oho nechi kwaw'emanya,Wewe unajua
Kidawida,Swahili,Chia yewuya yeko hao,Njia ya kurudi iko wapi
Kidawida,Swahili,Deko na choro chedu nyumbenyi pedu.,Tuna choo chetu nyumbani kwetu.
Kidawida,Swahili,Kakunda samaki kocha na magome.,Ukiwataka samaki njoo na pesa
Kidawida,Swahili,Kavui sana,Karibu sana
Kidawida,Swahili,Mndu na mruna wawesarigha.,Ndugu na dada wanacheza.
Kidawida,Swahili,W'ana w'a sikulu w'ew'adwa ni makongo,Wanafunzi wamevamiwa na magonjwa
Kidawida,Swahili,W'ona seji w'ajikucha,Ona vile amejikunja
Kidawida,Swahili,Nedenekwa marughu adadu.,Nilipewa ndizi tatu
Kidawida,Swahili,Nguwo ra harusi radashonwa na mafundi wa hali ya ighu,Nguo za hrusi husahonwa na mafundi wa hali ya juu
Kidawida,Swahili,Lukundo la kichuku lwadafunya ndighi na kuboilwa kwa ngelo rikurie.,Upendo wa familia hutoa nguvu na faraja katika nyakati ngumu.
Kidawida,Swahili,Wangia chumba cha mghenyu wape.,Ameingia kwenye chumba cha rafiki yake.
Kidawida,Swahili,Nyamandu rakundikie kupata ndisha iboie na machi.,Wanyama wanafaa kupata lishe vizuri na maji.
Kidawida,Swahili,Apa obia shuu,Baba yangu ni mkali sana
Kidawida,Swahili,Mghende mungie,Mwende muingie
Kidawida,Swahili,Ndodo yapo ni kukaia umu wa w'aja w'iandikagha habari riboie nandighi w'urumwengunyi.,Ndoto yangu ni kuwa mmojawapo wa waandishi wa habari bora zaidi ulimwenguni.
Kidawida,Swahili,Nyonyi radima kukaia na misharia ya rangi.,Ndege wanaweza kuwa na michirizi ya rangi.
Kidawida,Swahili,Ukaghusha wadaghona sa kichula.,Akilala huwa anakoroma kama chura
Kidawida,Swahili,Waweenda mboa mboa,Anatembea polepole
Kidawida,Swahili,Kanileka w'ele.,Niache jamani
Kidawida,Swahili,Vilole va nyumba,Vioo vya nyumba
Kidawida,Swahili,Naobua kughala  mzinyi niekeri.,Naogopa kuenda  nyumbani peke yangu
Kidawida,Swahili,Niwineka voro rako,Nitawapatia salamu zako
Kidawida,Swahili,Nguku ya mteja,Kuku kishingo
Kidawida,Swahili,vighemu vawudukia vigharo,Miamba imeangukia nyumba
Kidawida,Swahili,Chuya mada,Tema mate
Kidawida,Swahili,Dipwanye maghesho eri disekew'uria kazi iw'I iw'i.,Tushirikiane kimawazo ili tusirudie juhudi.
Kidawida,Swahili,Irina jhako jiele,Jina lako litukuzwe
Kidawida,Swahili,Mkongo ohoa,Mgojwa alipona
Kidawida,Swahili,Kukadumwa kughende shwa-shwa.,Ukitumwa uende haraka-haraka.
Kidawida,Swahili,Eka ni mndu na mruna w'itandikilo angu w'erelwagha sokonyi w'iko w'aw'ongeri.,Ilikuwa ni kichapo cha kaka wawili waliokuwa wakipigana sokoni wakiwa walevi.
Kidawida,Swahili,Kutesia wazima kwadabonya maisha ghikaiye na ilengo.,Kusaidia wengine hufanya maisha kuwa ya kusudi.
Kidawida,Swahili,Kudwalwa mdida,Utapelekwa kwa kasi
Kidawida,Swahili,Matunda na mbogha ni muhimu kwa afya,Matunda na mboga ni muhimu kwa afya.
Kidawida,Swahili,Didashanwa lawuke kwa ihi kazi daibonya idime.,Tutalipwa kesho kutwa kwa kazi tulioifanya leo.
Kidawida,Swahili,Waghorie reko na faida raenga kwa iji isanga.,Alisema zina manufaa mengi kwa taifa hili
Kidawida,Swahili,Ogha w'ushu nema kukushinge mavuda.,Nawa uso halafu ujipake mafuta
Kidawida,Swahili,Vifurue vadionia mbuw'a.,Vipepeo wametuharibia shamba
Kidawida,Swahili,Daw'iaenda kaba kura kwa indo ja imbiri.,Tunaenda kupiga kura kwa mara ya kwanza.
Kidawida,Swahili,Uja wawemtasa ni mchafu.,Yule wanayemwabudu ni chukizo.
Kidawida,Swahili,Oenjwa hospitali uko hali izamie.,Alipelekwa hospitali akiwa hali mbaya sana.
Kidawida,Swahili,Iruwa jakaba nandighi,Jua linachoma sana
Kidawida,Swahili,Kusegheshe kilambo chingi cha kisha.,Usifikirie kitu chochote kibaya
Kidawida,Swahili,Mzenyu ni hao?,Kwenu ni wapi?
Kidawida,Swahili,W'usira lwaka ndediw'ekusikira.,Ongeza sauti hatukuskii
Kidawida,Swahili,Kwafunyire hao,Ulitoa wapi
Kidawida,Swahili,Naw'eskira dilo idime kuchumba.,Naskia usingizi Leo kushinda siku zote
Kidawida,Swahili,Kuche mzinyi.,Uje nyumbani
Kidawida,Swahili,Mnyango ghwarughulwa.,Mlango unafunguliwa.
Kidawida,Swahili,Reda machi na kikombe ninyo,Leta maji na kikombe ninywe
Kidawida,Swahili,Ilombi jhapo ni kuhoreshe,Ombi langu ni upone
Kidawida,Swahili,Shimba idakuvisa malembenyi.,Simba hujificha kwenye majani.
Kidawida,Swahili,Mwatulituli wapo wanyelwa ni vua.,Simu yangu imenyeshewa na mvua
Kidawida,Swahili,Koshi yadanughwa ni kirezi.,Mbwa hufuatwa na mkia.
Kidawida,Swahili,Bonya indo ja mwisho,Fanya mara ya mwisho
Kidawida,Swahili,Kwa ishima jake,Kwa heshima yake
Kidawida,Swahili,Mruna ni mkongo,Ndugu yake ni mgonjwa
Kidawida,Swahili,Vindo vawurwa,Chakula kimeiva
Kidawida,Swahili,Kichuku chose chaendie zighana ndee waw'o aja hospitali ya Voi.,Familia nzima ilimtembelea baba yao katika hospitali ya Voi.
Kidawida,Swahili,Kwaw'acha saa ilinga?,Unakuja saa ngapi?
Kidawida,Swahili,Vilambo visena zoghori,Vitu visivyo na thamani
Kidawida,Swahili,Wawuduka kiwiwi,Ameanguka vibaya
Kidawida,Swahili,Nikudumia ilagho kesho.,Nitakutumia ujumbe mfupi kwa simu kesho.
Kidawida,Swahili,Oka na gambili mbaha,Ako na kipaji kikubwa
Kidawida,Swahili,Nashoa shilingi Ighana shighadi,Nimeokota shilingi mia moja nje
Kidawida,Swahili,Makungughu gha vua ndeghiw'onekie,Mawingu ya mvua hayajaonekana
Kidawida,Swahili,Kwafuma hao?,Umetoka wapi?
Kidawida,Swahili,Dedenekwa zawadi.,Tulipewa zawadi
Kidawida,Swahili,Ndoo yalaghaya,Ndoo imepotea
Kidawida,Swahili,Okaba ngokora,Alipiga magoti
Kidawida,Swahili,Kufuma kala w'eke w'aw'a ndew'erebonyagha huw'o.,Tangu zamani mababu zetu hawakufanya hivyo.
Kidawida,Swahili,Mzaw'o ni kula shuu,Kwao ni mbali sana
Kidawida,Swahili,Iruwa jikakaba niko vua ichaa.,Jua likipiga ndio mvua itakuja
Kidawida,Swahili,",Mtoto anaishi na mama yake.",nan
Kidawida,Swahili,Mka umu okaba irizi na mwindi.,Mama mwingine alivaa irini mguu
Kidawida,Swahili,Matofali ghanyelwa ni vua.,Matofali yamenyeshewa na mvua.
Kidawida,Swahili,Osindapwana na w'abonyi kazi luma lwa kesho.,Alikuwa na mkutano na wafanyikazi asubuhi ya leo.
Kidawida,Swahili,Mwachaka mungi vindonyi washekeria kudikwa ni mbori na manongo.,Pilipili nyingi kwa chakula husababisha kutiririkwa na machozi na makamasi.
Kidawida,Swahili,Muzi ghwawo ni mbaha nandighi,Nyumbani kwao ni pakubwa
Kidawida,Swahili,Savi raw'alwa shighadi,pojo zimepandwa nje
Kidawida,Swahili,Kilongozi wa mzedu ungirie ghadi uche uzighane umanye aha shida iko.,Kiongozi wetu anapaswa aingilie kati swala hili ajue shida inatokea wapi
Kidawida,Swahili,Omoni wadasaghua w'ana.,Yeye huwa anachagua watoto
Kidawida,Swahili,Wurumwengu ghwachua ndengwa,Ulimwengu umejaa hatari
Kidawida,Swahili,Oho kwameria kusikia maza ripoie.,Wewe umeshasikia habari njema.
Kidawida,Swahili,W'echajha.,Wamekuja kula
Kidawida,Swahili,Wesera nimerie,Ngojea nimalize
Kidawida,Swahili,Ni w'andu w'atini w'iandikie vuo kwa Kidaw'ida,Ni watu wachache wameandika vitabu kwa Kitaita
Kidawida,Swahili,Leka machu,Wacha hasira
Kidawida,Swahili,Ihi kamba yazitirikia yanlema kulegheresha.,Hii kamba imekazika inanishinda kulegeza.
Kidawida,Swahili,dafuna mboa mboa,Tafuna pole pole
Kidawida,Swahili,Uo nio udedie ngelo ya sherehe.,Yeye ndiye aliyetoa hotuba wakati wa sherehe.
Kidawida,Swahili,Vadu vake vasia putu.,Viatu zake zimeisha kabisa
Kidawida,Swahili,"W'eka w'andu w'engi sana, simbonie mghenyu wapo wa kala.","Kulikuwa na watu wengi sana, sikumuona rafiki yangu wa zamani."
Kidawida,Swahili,Nadanywa chai cha kilumbwa,Mimi hunywa chai bila sukari
Kidawida,Swahili,Uhu usewadie lufu ndeuze nguwo yake ughuo lufu.,Na yule mwenye hana panga auze nguo yake anunue panga.
Kidawida,Swahili,Seji midi ipotuagha malemba ikasughuswa ni mbeo.,Kama vile miti huangusha majani inapotingishwa na upepo.
Kidawida,Swahili,Izanga ja Kenya jeko na wazuri wengi,Nchi ya kenya ina matajiri wengi
Kidawida,Swahili,W'uja w'anake w'akanye na ani?,Vile watoto wanatunzwa na nani?
Kidawida,Swahili,Ujha mka oshoma sana,Yule mwanamke amesoma sana
Kidawida,Swahili,Naja nikaghuda,Nimekula nikashiba
Kidawida,Swahili,Nasirilwa ni maghesho,Nimeishiwa na mawazo
Kidawida,Swahili,Kila mundu umanye moni siw'etesia mndungi,Kila mtuatajua mwenyewe mimi simsaidii mtu
Kidawida,Swahili,W'usira mikono yako,Inua mikono yako
Kidawida,Swahili,Mawingu ghawepwana.,Mawingu yanakusanyika.
Kidawida,Swahili,Mlungu wadidimisha kukaa na mawono.,Mungu ametuwezesha kuwa na ndoto.
Kidawida,Swahili,ukaw'ineka vindo va ngolonyi,Akawapatia chakula cha kiroho
Kidawida,Swahili,Nadanywa chai cha kilumbwa,Mimi hunywa chai bila sukari
Kidawida,Swahili,Ndighi ya madedo yadima kukaiya mbaa.,Nguvu ya maneno inaweza kuwa kubwa.
Kidawida,Swahili,kwaw'eshoma kihi?,Unasoma nini?
Kidawida,Swahili,Polisi w'echasaka nyumba yapo.,Polisi walifanya msako nyumbani kwangu.
Kidawida,Swahili,W'andu w'eandikwa kwa zoghori zima.,Watu wameajiriwa katika biashara tofauti.
